texture_name,raw_asset_file,width,height,unity_format,decoded_format,payload_size,output_file
TN_Worker_10_Small,09906d567dad448aea3e3edc3238114d,128,128,50,ASTC 6x6,7744,astc_all/TN_Worker_10_Small__09906d567dad448aea3e3edc3238114d__128x128__ASTC_6x6.astc
Icn_Land,09e5dc2cc1a9e41aab33375a36cdef5f,64,64,50,ASTC 6x6,1936,astc_all/Icn_Land__09e5dc2cc1a9e41aab33375a36cdef5f__64x64__ASTC_6x6.astc
Icn_20002,0a2ce2411a18744079d4aa1a5572d79d,128,128,51,ASTC 8x8,4096,astc_all/Icn_20002__0a2ce2411a18744079d4aa1a5572d79d__128x128__ASTC_8x8.astc
ICN_IronWill,0a8477163552c4eeda3653d889f40cb1,64,64,50,ASTC 6x6,1936,astc_all/ICN_IronWill__0a8477163552c4eeda3653d889f40cb1__64x64__ASTC_6x6.astc
Img_Stage,0adda8e4015b14044a337c762520f7c9,200,128,50,ASTC 6x6,11968,astc_all/Img_Stage__0adda8e4015b14044a337c762520f7c9__200x128__ASTC_6x6.astc
TN_Money_03,0b30fa14ac33142d98f03fb173272c10,256,256,50,ASTC 6x6,29584,astc_all/TN_Money_03__0b30fa14ac33142d98f03fb173272c10__256x256__ASTC_6x6.astc
ICN_Secre_13,0bd63877276d142a98d79deeae22ddb5,128,128,50,ASTC 6x6,7744,astc_all/ICN_Secre_13__0bd63877276d142a98d79deeae22ddb5__128x128__ASTC_6x6.astc
Icn_ThumbsUp,0bd7be8586f1a47d280cda761752a163,32,32,50,ASTC 6x6,576,astc_all/Icn_ThumbsUp__0bd7be8586f1a47d280cda761752a163__32x32__ASTC_6x6.astc
Icn_Arrow_Soft_Gradation,0c330e05ff1a34bf19ecdaac0beb41b2,128,64,50,ASTC 6x6,3872,astc_all/Icn_Arrow_Soft_Gradation__0c330e05ff1a34bf19ecdaac0beb41b2__128x64__ASTC_6x6.astc
TN_Ingot_Opal,0c8d1b62e1b1b4c4482d40704524518a,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Opal__0c8d1b62e1b1b4c4482d40704524518a__64x64__ASTC_6x6.astc
TN_Jem_05,0d088a758f8a24bc5abbd8a6a91ac305,256,256,50,ASTC 6x6,29584,astc_all/TN_Jem_05__0d088a758f8a24bc5abbd8a6a91ac305__256x256__ASTC_6x6.astc
ICN_AltitudeSickness,0d2ede42ee9e84f91bd52dee9c8a6162,64,64,50,ASTC 6x6,1936,astc_all/ICN_AltitudeSickness__0d2ede42ee9e84f91bd52dee9c8a6162__64x64__ASTC_6x6.astc
Icn_Piece_Epic_Random,0f6a0375656c54b2cb95a16effba46c6,128,128,50,ASTC 6x6,7744,astc_all/Icn_Piece_Epic_Random__0f6a0375656c54b2cb95a16effba46c6__128x128__ASTC_6x6.astc
Icn_Gear,101f5beaab7604ebb858a920131cf028,128,128,50,ASTC 6x6,7744,astc_all/Icn_Gear__101f5beaab7604ebb858a920131cf028__128x128__ASTC_6x6.astc
ICN_Star_Color,11992ceeb0dfd4e76a9a311c1e75652f,32,32,50,ASTC 6x6,576,astc_all/ICN_Star_Color__11992ceeb0dfd4e76a9a311c1e75652f__32x32__ASTC_6x6.astc
Icn_30105,11ecdfddbcf0a40509d139edeaab8d73,128,128,51,ASTC 8x8,4096,astc_all/Icn_30105__11ecdfddbcf0a40509d139edeaab8d73__128x128__ASTC_8x8.astc
TN_Furnace,12c03d170d76efe41bf11ca589f53515,256,256,50,ASTC 6x6,29584,astc_all/TN_Furnace__12c03d170d76efe41bf11ca589f53515__256x256__ASTC_6x6.astc
ICN_Secre_11,149cccedefea642e69e8ec3dd96c5de6,128,128,50,ASTC 6x6,7744,astc_all/ICN_Secre_11__149cccedefea642e69e8ec3dd96c5de6__128x128__ASTC_6x6.astc
TN_Skin_Amethyst,14a232d156d414ee29f045adc3cf5ccc,64,64,50,ASTC 6x6,1936,astc_all/TN_Skin_Amethyst__14a232d156d414ee29f045adc3cf5ccc__64x64__ASTC_6x6.astc
TN_Truck,14c1cbe4c2eda4eb191c0ed85b9aa32e,512,512,50,ASTC 6x6,118336,astc_all/TN_Truck__14c1cbe4c2eda4eb191c0ed85b9aa32e__512x512__ASTC_6x6.astc
TN_Skin_Quartz,14f9cb165cffa47388b3230eeccaa099,64,64,50,ASTC 6x6,1936,astc_all/TN_Skin_Quartz__14f9cb165cffa47388b3230eeccaa099__64x64__ASTC_6x6.astc
ICN_RollerCrusher,158f53ab89ea249a5b4468a847225e69,256,256,50,ASTC 6x6,29584,astc_all/ICN_RollerCrusher__158f53ab89ea249a5b4468a847225e69__256x256__ASTC_6x6.astc
Icn_Shop_V01,15a70a877abe44db797784fbc4bf6630,64,64,50,ASTC 6x6,1936,astc_all/Icn_Shop_V01__15a70a877abe44db797784fbc4bf6630__64x64__ASTC_6x6.astc
Img_Txt_German,15c91bc9af5654372bc7b2d771bf18af,128,32,50,ASTC 6x6,2112,astc_all/Img_Txt_German__15c91bc9af5654372bc7b2d771bf18af__128x32__ASTC_6x6.astc
Icn_Arrow,160e9d1f79c2d014c8c86ef9d7de6c6a,16,16,50,ASTC 6x6,144,astc_all/Icn_Arrow__160e9d1f79c2d014c8c86ef9d7de6c6a__16x16__ASTC_6x6.astc
Icn_40103,16cc8cd11851343b6af74a886ee19cfc,128,128,51,ASTC 8x8,4096,astc_all/Icn_40103__16cc8cd11851343b6af74a886ee19cfc__128x128__ASTC_8x8.astc
Img_Company_Chains_R,16ec8448b2e28409887fe9e47410cc8d,64,64,50,ASTC 6x6,1936,astc_all/Img_Company_Chains_R__16ec8448b2e28409887fe9e47410cc8d__64x64__ASTC_6x6.astc
TN_Secre_Whole_06,176bb83284cee4da1ad72f464448e7f1,512,1024,48,ASTC 4x4,524288,astc_all/TN_Secre_Whole_06__176bb83284cee4da1ad72f464448e7f1__512x1024__ASTC_4x4.astc
TN_Money_02,17f7c75733fe849239d798500b8ed1e0,256,256,50,ASTC 6x6,29584,astc_all/TN_Money_02__17f7c75733fe849239d798500b8ed1e0__256x256__ASTC_6x6.astc
ICN_Secre_03,1931a1af0046c42b295bbade3bf09cf9,128,128,50,ASTC 6x6,7744,astc_all/ICN_Secre_03__1931a1af0046c42b295bbade3bf09cf9__128x128__ASTC_6x6.astc
TN_NoAds_Badge,19d37920fa4e040bd83885e78f0d26ad,128,128,50,ASTC 6x6,7744,astc_all/TN_NoAds_Badge__19d37920fa4e040bd83885e78f0d26ad__128x128__ASTC_6x6.astc
Icn_Mining_Black02,19ea2e0d717d94ba6a9940a7f0f86057,70,70,50,ASTC 6x6,2304,astc_all/Icn_Mining_Black02__19ea2e0d717d94ba6a9940a7f0f86057__70x70__ASTC_6x6.astc
TN_Skin_Obsidian,1a3b602af450747d5925d5fc4d4a9de2,64,64,50,ASTC 6x6,1936,astc_all/TN_Skin_Obsidian__1a3b602af450747d5925d5fc4d4a9de2__64x64__ASTC_6x6.astc
Icn_Mining_Gray,1a60555ad4b9c41cb90fceb3f49f097c,32,32,50,ASTC 6x6,576,astc_all/Icn_Mining_Gray__1a60555ad4b9c41cb90fceb3f49f097c__32x32__ASTC_6x6.astc
Icn_Piece_Common_Bg,1a6997f01a1f64c8d95ca0ae5de4874e,128,128,50,ASTC 6x6,7744,astc_all/Icn_Piece_Common_Bg__1a6997f01a1f64c8d95ca0ae5de4874e__128x128__ASTC_6x6.astc
ICN_Secre_02,1acb20b5c2c834fa4b861b19b4318ea7,128,128,50,ASTC 6x6,7744,astc_all/ICN_Secre_02__1acb20b5c2c834fa4b861b19b4318ea7__128x128__ASTC_6x6.astc
Icn_Carry_CAP,1bddba21360e54dffb5db67b1bc9403c,58,64,50,ASTC 6x6,1760,astc_all/Icn_Carry_CAP__1bddba21360e54dffb5db67b1bc9403c__58x64__ASTC_6x6.astc
ICN_Change,1c66eaa9cdbd34d8698d5115242808c1,32,32,50,ASTC 6x6,576,astc_all/ICN_Change__1c66eaa9cdbd34d8698d5115242808c1__32x32__ASTC_6x6.astc
TN_Secre_Whole_07,1c9b02be99d984691b74070498f219b2,512,1024,48,ASTC 4x4,524288,astc_all/TN_Secre_Whole_07__1c9b02be99d984691b74070498f219b2__512x1024__ASTC_4x4.astc
Img_Txt_Russian,1d0d914723a5c4b8580b9504291488a6,128,32,50,ASTC 6x6,2112,astc_all/Img_Txt_Russian__1d0d914723a5c4b8580b9504291488a6__128x32__ASTC_6x6.astc
TN_RollerCrusher,1d1bc50e68f7942478198883805572e7,256,256,50,ASTC 6x6,29584,astc_all/TN_RollerCrusher__1d1bc50e68f7942478198883805572e7__256x256__ASTC_6x6.astc
TN_AdTicket_02,1d7fd65c10ad343cab15e9c2833e7f04,256,256,50,ASTC 6x6,29584,astc_all/TN_AdTicket_02__1d7fd65c10ad343cab15e9c2833e7f04__256x256__ASTC_6x6.astc
TN_WoodCarrier,1ddcd6104782a4482a66933c08e3f428,256,256,50,ASTC 6x6,29584,astc_all/TN_WoodCarrier__1ddcd6104782a4482a66933c08e3f428__256x256__ASTC_6x6.astc
Icn_Dynamite,1e6cd4ccded5f446f8f400395bcb2773,128,128,50,ASTC 6x6,7744,astc_all/Icn_Dynamite__1e6cd4ccded5f446f8f400395bcb2773__128x128__ASTC_6x6.astc
ICN_Europe_Unselect,1ea8ba958ee534babb3cf360a1fea6d5,64,64,50,ASTC 6x6,1936,astc_all/ICN_Europe_Unselect__1ea8ba958ee534babb3cf360a1fea6d5__64x64__ASTC_6x6.astc
ICN_Clock_Body,1eff07436436c4891b3f45e8aa691db3,64,64,50,ASTC 6x6,1936,astc_all/ICN_Clock_Body__1eff07436436c4891b3f45e8aa691db3__64x64__ASTC_6x6.astc
TN_Worker_02_Small,1f4dda987a8734fcb9b616ddb5828147,128,128,50,ASTC 6x6,7744,astc_all/TN_Worker_02_Small__1f4dda987a8734fcb9b616ddb5828147__128x128__ASTC_6x6.astc
Icn_Restore,1f827ef538edb474e82e6fc89837028d,64,64,50,ASTC 6x6,1936,astc_all/Icn_Restore__1f827ef538edb474e82e6fc89837028d__64x64__ASTC_6x6.astc
Icn_30302,1f9e185eee7ed451e8ffbe7a40dcf84e,128,128,51,ASTC 8x8,4096,astc_all/Icn_30302__1f9e185eee7ed451e8ffbe7a40dcf84e__128x128__ASTC_8x8.astc
TN_Ingot_Gold,1fa6b0c6a24564988becb6b962004f99,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Gold__1fa6b0c6a24564988becb6b962004f99__64x64__ASTC_6x6.astc
Img_Txt_Turkish,2072b6cced07f4cb7bc80d422bbc7b2c,128,32,50,ASTC 6x6,2112,astc_all/Img_Txt_Turkish__2072b6cced07f4cb7bc80d422bbc7b2c__128x32__ASTC_6x6.astc
ICN_Magnifying,2136415f414904746925712d9a37b1f8,76,76,50,ASTC 6x6,2704,astc_all/ICN_Magnifying__2136415f414904746925712d9a37b1f8__76x76__ASTC_6x6.astc
TN_Ingot_Quartz,2144aa950062746bfbeb9950bea6315f,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Quartz__2144aa950062746bfbeb9950bea6315f__64x64__ASTC_6x6.astc
Icn_50109,214f65b8bf9e4401cbaf7b36b719badc,128,128,51,ASTC 8x8,4096,astc_all/Icn_50109__214f65b8bf9e4401cbaf7b36b719badc__128x128__ASTC_8x8.astc
Img_Clip,2177d51f21a4741da8c02b79a6a40427,128,128,50,ASTC 6x6,7744,astc_all/Img_Clip__2177d51f21a4741da8c02b79a6a40427__128x128__ASTC_6x6.astc
Img_Event_Reward_Tail_Glow,21858acf516b34b2dbd37ed56697fa15,36,22,4,RGBA32,3168,decoded_direct/Img_Event_Reward_Tail_Glow__21858acf516b34b2dbd37ed56697fa15.png
Icn_Piece_Rare_Bg,2185f0c03a9c046069d87afd7b1c38d7,128,128,50,ASTC 6x6,7744,astc_all/Icn_Piece_Rare_Bg__2185f0c03a9c046069d87afd7b1c38d7__128x128__ASTC_6x6.astc
ICN_Oceania_Unselect,223e1d1bf829f47d5a02dd9f4dd34b75,64,64,50,ASTC 6x6,1936,astc_all/ICN_Oceania_Unselect__223e1d1bf829f47d5a02dd9f4dd34b75__64x64__ASTC_6x6.astc
ICN_UnstableGround,235c11616dbb64efc9599acc1f46033f,64,64,50,ASTC 6x6,1936,astc_all/ICN_UnstableGround__235c11616dbb64efc9599acc1f46033f__64x64__ASTC_6x6.astc
TN_Ingot_Iron,247efb1c7d7804d63a67de6aec539ff1,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Iron__247efb1c7d7804d63a67de6aec539ff1__64x64__ASTC_6x6.astc
TN_Ore_Amber,24edadb15697641f7a2d3ef6ac797e50,256,256,50,ASTC 6x6,29584,astc_all/TN_Ore_Amber__24edadb15697641f7a2d3ef6ac797e50__256x256__ASTC_6x6.astc
TN_AdTicket_01,2528b0a3b837046028baf67d24cfa793,256,256,50,ASTC 6x6,29584,astc_all/TN_AdTicket_01__2528b0a3b837046028baf67d24cfa793__256x256__ASTC_6x6.astc
TN_Worker_11_Small,253660920b6c142f6ac6a2ae7a00e849,128,128,50,ASTC 6x6,7744,astc_all/TN_Worker_11_Small__253660920b6c142f6ac6a2ae7a00e849__128x128__ASTC_6x6.astc
Icn_40501,253bad7f4f3e94c4abba9aa7498e83a2,128,128,51,ASTC 8x8,4096,astc_all/Icn_40501__253bad7f4f3e94c4abba9aa7498e83a2__128x128__ASTC_8x8.astc
TN_Bond_01,2584b1420f7bd4c4c90772787a74cc00,256,256,50,ASTC 6x6,29584,astc_all/TN_Bond_01__2584b1420f7bd4c4c90772787a74cc00__256x256__ASTC_6x6.astc
TN_Ore_Opal,26c788b11358c48629bba5ab6de49b0b,256,256,50,ASTC 6x6,29584,astc_all/TN_Ore_Opal__26c788b11358c48629bba5ab6de49b0b__256x256__ASTC_6x6.astc
Icn_ExpressDelivery,280d3bcdf9240453da7279b45f41b6da,64,64,50,ASTC 6x6,1936,astc_all/Icn_ExpressDelivery__280d3bcdf9240453da7279b45f41b6da__64x64__ASTC_6x6.astc
TN_Skin_Emerald,2902aefc37b3945e999083a125c9f61d,64,64,50,ASTC 6x6,1936,astc_all/TN_Skin_Emerald__2902aefc37b3945e999083a125c9f61d__64x64__ASTC_6x6.astc
Img_Debuff,29d23fdebbf89487cbc117a88bcb3492,128,128,50,ASTC 6x6,7744,astc_all/Img_Debuff__29d23fdebbf89487cbc117a88bcb3492__128x128__ASTC_6x6.astc
ICN_Secre_01,2a1a8003efa5848db9a598dba9d022a9,128,128,50,ASTC 6x6,7744,astc_all/ICN_Secre_01__2a1a8003efa5848db9a598dba9d022a9__128x128__ASTC_6x6.astc
Icn_40301,2aafbd6462f834e0897866432f9d0b2c,128,128,51,ASTC 8x8,4096,astc_all/Icn_40301__2aafbd6462f834e0897866432f9d0b2c__128x128__ASTC_8x8.astc
Img_Box_Yellow_Dimed,2b169f9bcd3ba451f9388f8d4930b803,128,128,50,ASTC 6x6,7744,astc_all/Img_Box_Yellow_Dimed__2b169f9bcd3ba451f9388f8d4930b803__128x128__ASTC_6x6.astc
Icn_Company_V01,2c1bfd462e6444329b9084fe89df1c55,64,64,50,ASTC 6x6,1936,astc_all/Icn_Company_V01__2c1bfd462e6444329b9084fe89df1c55__64x64__ASTC_6x6.astc
Icn_10002,2de507aae5d864e729f48586f71d40c4,128,128,51,ASTC 8x8,4096,astc_all/Icn_10002__2de507aae5d864e729f48586f71d40c4__128x128__ASTC_8x8.astc
TN_Secre_Whole_02,2e547cccaba104cbc893f4f01936bfd9,512,1024,48,ASTC 4x4,524288,astc_all/TN_Secre_Whole_02__2e547cccaba104cbc893f4f01936bfd9__512x1024__ASTC_4x4.astc
TN_Skin_Basalt,2e744e76806aa419ebed8ddc14b55597,64,64,50,ASTC 6x6,1936,astc_all/TN_Skin_Basalt__2e744e76806aa419ebed8ddc14b55597__64x64__ASTC_6x6.astc
ICN_NoRentals,2ea8dcfc6a4524e8d8a56275b51fcfef,64,64,50,ASTC 6x6,1936,astc_all/ICN_NoRentals__2ea8dcfc6a4524e8d8a56275b51fcfef__64x64__ASTC_6x6.astc
TN_Secre_Whole_00,303576251aa5349eebb96f9b701a1cd8,512,1024,48,ASTC 4x4,524288,astc_all/TN_Secre_Whole_00__303576251aa5349eebb96f9b701a1cd8__512x1024__ASTC_4x4.astc
Icn_40202,309e8cffdbb4a4c458970340b3b5a55d,128,128,51,ASTC 8x8,4096,astc_all/Icn_40202__309e8cffdbb4a4c458970340b3b5a55d__128x128__ASTC_8x8.astc
ICN_WheelBarrow,31bccf9212fae463c95ba625056b8a70,256,256,50,ASTC 6x6,29584,astc_all/ICN_WheelBarrow__31bccf9212fae463c95ba625056b8a70__256x256__ASTC_6x6.astc
TN_Ingot_Dunite,31c6701999c214665b17655f8ef836c1,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Dunite__31c6701999c214665b17655f8ef836c1__64x64__ASTC_6x6.astc
Img_Reward,31ff20b1413f546be82b7028fd68424a,427,256,50,ASTC 6x6,49536,astc_all/Img_Reward__31ff20b1413f546be82b7028fd68424a__427x256__ASTC_6x6.astc
TN_AD_Furnace,3411d64c2728146afaae9a0909f62156,256,256,50,ASTC 6x6,29584,astc_all/TN_AD_Furnace__3411d64c2728146afaae9a0909f62156__256x256__ASTC_6x6.astc
ICN_Secretariat_04,34d211772ab9742eaba426caad4018ba,128,128,50,ASTC 6x6,7744,astc_all/ICN_Secretariat_04__34d211772ab9742eaba426caad4018ba__128x128__ASTC_6x6.astc
TN_Ore_Quartz,34ecedcb5351e418d972d6062bcb9001,256,256,50,ASTC 6x6,29584,astc_all/TN_Ore_Quartz__34ecedcb5351e418d972d6062bcb9001__256x256__ASTC_6x6.astc
Icn_ContactUs,35ac324af368d4961a57a042700d26f8,64,64,50,ASTC 6x6,1936,astc_all/Icn_ContactUs__35ac324af368d4961a57a042700d26f8__64x64__ASTC_6x6.astc
TN_Secre_Whole_04,36c0f0da16b5348e59963168cf12cf7d,512,1024,48,ASTC 4x4,524288,astc_all/TN_Secre_Whole_04__36c0f0da16b5348e59963168cf12cf7d__512x1024__ASTC_4x4.astc
TN_Ore_Granite,37ed8f190d5b84e79b67f00afb2c96f7,256,256,50,ASTC 6x6,29584,astc_all/TN_Ore_Granite__37ed8f190d5b84e79b67f00afb2c96f7__256x256__ASTC_6x6.astc
ICN_RedDot,390c3acacfcde47e4a85c7f18cb3e32b,32,32,50,ASTC 6x6,576,astc_all/ICN_RedDot__390c3acacfcde47e4a85c7f18cb3e32b__32x32__ASTC_6x6.astc
TN_WheelLoader,39e44d594230d4a7a83a84b0422acdac,256,256,50,ASTC 6x6,29584,astc_all/TN_WheelLoader__39e44d594230d4a7a83a84b0422acdac__256x256__ASTC_6x6.astc
Icn_40201,3b10712dfd2fb408bbbbda005768e588,128,128,51,ASTC 8x8,4096,astc_all/Icn_40201__3b10712dfd2fb408bbbbda005768e588__128x128__ASTC_8x8.astc
ICN_Star_DarkGray,3b6a0e75a99194b84a3e5ece882b7bcc,32,32,50,ASTC 6x6,576,astc_all/ICN_Star_DarkGray__3b6a0e75a99194b84a3e5ece882b7bcc__32x32__ASTC_6x6.astc
Icn_40401,3b8bb94e7d4444e8dacbef12453dd541,128,128,51,ASTC 8x8,4096,astc_all/Icn_40401__3b8bb94e7d4444e8dacbef12453dd541__128x128__ASTC_8x8.astc
TN_Worker_08_Small,3b9314d29baae444c8ce22caa5cf6172,128,128,50,ASTC 6x6,7744,astc_all/TN_Worker_08_Small__3b9314d29baae444c8ce22caa5cf6172__128x128__ASTC_6x6.astc
Img_Company_Chains_L,3bdbd3cbce37f4b2d96e7e89f57e6db3,64,64,50,ASTC 6x6,1936,astc_all/Img_Company_Chains_L__3bdbd3cbce37f4b2d96e7e89f57e6db3__64x64__ASTC_6x6.astc
Img_Onboarding,3c0b10ad7cb5947c683c32d2b2ef32d4,480,512,50,ASTC 6x6,110080,astc_all/Img_Onboarding__3c0b10ad7cb5947c683c32d2b2ef32d4__480x512__ASTC_6x6.astc
Icn_Bond,3c847752299ce496d8b5042105685f7a,128,128,50,ASTC 6x6,7744,astc_all/Icn_Bond__3c847752299ce496d8b5042105685f7a__128x128__ASTC_6x6.astc
TN_Pickax,3d31198d1619a48938bfc9e0825a494c,256,256,50,ASTC 6x6,29584,astc_all/TN_Pickax__3d31198d1619a48938bfc9e0825a494c__256x256__ASTC_6x6.astc
Img_Piece_Light,3df2a1d7032734dc9a8d9a8b9474e563,128,128,50,ASTC 6x6,7744,astc_all/Img_Piece_Light__3df2a1d7032734dc9a8d9a8b9474e563__128x128__ASTC_6x6.astc
TN_Worker_11,3e20044b2dc0f49258f650a82a556cee,512,512,50,ASTC 6x6,118336,astc_all/TN_Worker_11__3e20044b2dc0f49258f650a82a556cee__512x512__ASTC_6x6.astc
Icn_Pizza,3f214812427534f8da047345860655f9,256,256,50,ASTC 6x6,29584,astc_all/Icn_Pizza__3f214812427534f8da047345860655f9__256x256__ASTC_6x6.astc
Img_Paper,406e2543dff17480c813a5133fe47265,512,512,50,ASTC 6x6,118336,astc_all/Img_Paper__406e2543dff17480c813a5133fe47265__512x512__ASTC_6x6.astc
TN_Worker_10,4194a5ce346cf4615a51355653a549da,512,512,50,ASTC 6x6,118336,astc_all/TN_Worker_10__4194a5ce346cf4615a51355653a549da__512x512__ASTC_6x6.astc
TN_Ore_Manganese,42329f81df11c436aafd85ad3241d9d6,256,256,50,ASTC 6x6,29584,astc_all/TN_Ore_Manganese__42329f81df11c436aafd85ad3241d9d6__256x256__ASTC_6x6.astc
TN_Skin_Bismuth,425967ec2b4bb4780aaefca9e7cdc9ff,64,64,50,ASTC 6x6,1936,astc_all/TN_Skin_Bismuth__425967ec2b4bb4780aaefca9e7cdc9ff__64x64__ASTC_6x6.astc
TN_BP_03,42da49457d33f4c1ca4acf98b5e0bdbe,256,256,50,ASTC 6x6,29584,astc_all/TN_BP_03__42da49457d33f4c1ca4acf98b5e0bdbe__256x256__ASTC_6x6.astc
Icn_50108,42dee3702555c426388d2bbcec942cb0,128,128,51,ASTC 8x8,4096,astc_all/Icn_50108__42dee3702555c426388d2bbcec942cb0__128x128__ASTC_8x8.astc
Icn_Speed,42e3c6347704141f19fa14488d130641,128,128,50,ASTC 6x6,7744,astc_all/Icn_Speed__42e3c6347704141f19fa14488d130641__128x128__ASTC_6x6.astc
TN_Worker_01,4311c122a224e4cf6b88d1a7e41c60d2,512,512,50,ASTC 6x6,118336,astc_all/TN_Worker_01__4311c122a224e4cf6b88d1a7e41c60d2__512x512__ASTC_6x6.astc
TN_Ingot_Basalt,4389ac95ceb8c43d4af9e562b2d37247,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Basalt__4389ac95ceb8c43d4af9e562b2d37247__64x64__ASTC_6x6.astc
Icn_Mining_SPD,43edec94e91c349e799bce88304d44cc,58,64,50,ASTC 6x6,1760,astc_all/Icn_Mining_SPD__43edec94e91c349e799bce88304d44cc__58x64__ASTC_6x6.astc
Icn_BP,44dd005a7073e4cc989d23c20a15d6c5,128,128,50,ASTC 6x6,7744,astc_all/Icn_BP__44dd005a7073e4cc989d23c20a15d6c5__128x128__ASTC_6x6.astc
TN_Smelter,45b42c37e1c7349b8abfb18dbea7adf3,512,512,50,ASTC 6x6,118336,astc_all/TN_Smelter__45b42c37e1c7349b8abfb18dbea7adf3__512x512__ASTC_6x6.astc
