key,value
IN_APP_PURCHASE_GEM_COUNT2,275
IN_APP_PURCHASE_GEM_COUNT3,580
IN_APP_PURCHASE_GEM_COUNT4,1200
IN_APP_PURCHASE_GEM_COUNT5,3500
IN_APP_PURCHASE_GEM_COUNT6,8500
IN_APP_PURCHASE_GEM_COUNT7,50
IN_APP_PURCHASE_GEM_COUNT8,100
IN_APP_PURCHASE_GEM_COUNT9,200
IN_APP_PURCHASE_GEM_COUNT10,300
IN_APP_PURCHASE_GEM_COUNT11,450
IN_APP_PURCHASE_GEM_COUNT12,150
IN_APP_PURCHASE_DOUBLE_GEM_COUNT1,200
IN_APP_PURCHASE_DOUBLE_GEM_COUNT2,550
IN_APP_PURCHASE_DOUBLE_GEM_COUNT3,1160
IN_APP_PURCHASE_DOUBLE_GEM_COUNT4,2400
IN_APP_PURCHASE_DOUBLE_GEM_COUNT5,7000
IN_APP_PURCHASE_DOUBLE_GEM_COUNT6,17000
IN_APP_PURCHASE_DAILY_GEM_COUNT1,10
IN_APP_PURCHASE_DOUBLE_GEM_VERSION_KEY,1
IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,10004
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT1,10
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT2,45
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT3,100
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT4,20
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT5,22
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT6,49
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT7,107
IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT8,178
IN_APP_PURCHASE_MONEY_ITEM_ID,10001
IN_APP_PURCHASE_GEAR_ITEM_ID,10002
IN_APP_PURCHASE_RESEARCHPOINT_ITEM_ID,10003
IN_APP_PURCHASE_BIZPOINT_ITEM_ID,10006
IN_APP_PURCHASE_MONEY_COUNT1,8000
IN_APP_PURCHASE_MONEY_COUNT2,24000
IN_APP_PURCHASE_MONEY_COUNT3,70000
IN_APP_PURCHASE_GEAR_COUNT1,250
IN_APP_PURCHASE_GEAR_COUNT2,750
IN_APP_PURCHASE_GEAR_COUNT3,2100
IN_APP_PURCHASE_RESEARCHPOINT_COUNT1,500
IN_APP_PURCHASE_RESEARCHPOINT_COUNT2,1500
IN_APP_PURCHASE_RESEARCHPOINT_COUNT3,4200
IN_APP_PURCHASE_BIZPOINT_COUNT1,3000
IN_APP_PURCHASE_BIZPOINT_COUNT2,12600
IN_APP_PURCHASE_BIZPOINT_COUNT3,33600
IN_APP_PURCHASE_DYNAMITE_ITEM_ID,30001
IN_APP_PURCHASE_DYNAMITE_COUNT1,1
IN_APP_PURCHASE_DYNAMITE_COUNT2,1
INTERSTITIAL_INITIAL_INTERVAL,200
INTERSTITIAL_REPEATING_INTERVAL,180
ONBOARDING_WORKER_FIRST_ID,3
ONBOARDING_WORKER_FIRST_ROLE,2
ONBOARDING_WORKER_SECOND_ID,2
ONBOARDING_WORKER_SECOND_ROLE,1
SECRETARY_FIRST_MEMBER_UNLOCK_COND,0
SECRETARY_SECOND_MEMBER_UNLOCK_COND,1101
SECRETARY_THIRD_MEMBER_UNLOCK_COND,1102
SECRETARY_FOURTH_MEMBER_UNLOCK_COND,1103
MAIN_CLEAR_PROGRESS_CONDITION,80
URGENT_CLEAR_PROGRESS_CONDITION,95
DYNAMITE_COOL_TIME,1
RV_DYNAMITE_ITEM_ID,30001
RV_DYNAMITE_ITEM_COUNT,1
IN_APP_SECRETARY_HINA_PACK_ITEM_ID,20010
IN_APP_SECRETARY_HINA_PACK_ITEM_COUNT,10
STAGE_REWARD_ASIA_3_DYNAMITE_COUNT,1
STAGE_REWARD_ASIA_6_DYNAMITE_COUNT,1
STAGE_REWARD_ASIA_9_DYNAMITE_COUNT,0
STAGE_REWARD_SAMERICA_3_DYNAMITE_COUNT,1
STAGE_REWARD_SAMERICA_6_DYNAMITE_COUNT,1
STAGE_REWARD_SAMERICA_9_DYNAMITE_COUNT,0
STAGE_REWARD_AFRICA_3_DYNAMITE_COUNT,1
STAGE_REWARD_AFRICA_6_DYNAMITE_COUNT,1
STAGE_REWARD_AFRICA_9_DYNAMITE_COUNT,0
STAGE_REWARD_OCEANIA_3_DYNAMITE_COUNT,1
STAGE_REWARD_OCEANIA_6_DYNAMITE_COUNT,1
STAGE_REWARD_OCEANIA_9_DYNAMITE_COUNT,0
