ConditionType,FailureMessage,GroupId,Param1,id,Param2,Param3
9,CONDITION_FAIL_LV_HIGH,306,1,30605,,
7,CONDITION_FAIL_EQUIP_LOCKED,502,301,50201,,
13,CONDITION_FAIL_SALE_LACK,502,300,50202,,
14,CONDITION_FAIL_NOT_BASE,502,,50203,,
7,CONDITION_FAIL_EQUIP_LOCKED,503,301,50301,,
14,CONDITION_FAIL_NOT_BASE,503,,50301,,
7,CONDITION_FAIL_EQUIP_LOCKED,307,301,30701,,
13,CONDITION_FAIL_SALE_LACK,307,300,30702,,
14,CONDITION_FAIL_NOT_BASE,307,,30703,,
9,CONDITION_FAIL_LV_HIGH,307,1,30704,,
7,CONDITION_FAIL_EQUIP_LOCKED,308,301,30801,,
14,CONDITION_FAIL_NOT_BASE,308,,30802,,
9,CONDITION_FAIL_LV_HIGH,308,1,30803,,
17,CONDITION_FAIL_STAGE_PROGRESS,601,20,60101,,
17,CONDITION_FAIL_STAGE_PROGRESS,602,30,60201,,
17,CONDITION_FAIL_STAGE_PROGRESS,603,40,60301,,
17,CONDITION_FAIL_STAGE_PROGRESS,604,50,60401,,
17,CONDITION_FAIL_STAGE_PROGRESS,605,60,60501,,
17,CONDITION_FAIL_STAGE_PROGRESS,606,70,60601,,
17,CONDITION_FAIL_STAGE_PROGRESS,607,80,60701,,
17,CONDITION_FAIL_STAGE_PROGRESS,608,90,60801,,
7,CONDITION_FAIL_EQUIP_LOCKED,701,301,70101,,
6,CONDITION_FAIL_LV_LOW,801,2,80101,,
18,CONDITION_FAIL_ITEM_LACK,801,10001,80102,0.2,
6,CONDITION_FAIL_LV_LOW,802,2,80201,,
18,CONDITION_FAIL_ITEM_LACK,802,10001,80202,0.4,
6,CONDITION_FAIL_LV_LOW,803,2,80301,,
18,CONDITION_FAIL_ITEM_LACK,803,10001,80302,0.6,
6,CONDITION_FAIL_LV_LOW,804,2,80401,,
18,CONDITION_FAIL_ITEM_LACK,804,10001,80402,0.8,
6,CONDITION_FAIL_LV_LOW,805,2,80501,,
18,CONDITION_FAIL_ITEM_LACK,805,10001,80502,1,
6,CONDITION_FAIL_LV_LOW,901,1,90001,,
6,CONDITION_FAIL_LV_LOW,902,4,90002,,
22,CONDITION_FAIL_NEVER_OWNED,903,10004,90003,,
22,CONDITION_FAIL_NEVER_OWNED,904,10006,90004,,
6,CONDITION_FAIL_LV_LOW,504,2,50401,,
20,CONDITION_FAIL_NOT_SHOP,504,,50402,,
15,CONDITION_FAIL_BOOST_MAX,504,7001,50403,2,
21,CONDITION_FAIL_QUEST_LOCKED,1001,1008,100001,,
21,CONDITION_FAIL_QUEST_LOCKED,1002,1004,100002,,
6,CONDITION_FAIL_LV_LOW,1101,6,100003,,
6,CONDITION_FAIL_LV_LOW,1102,8,100004,,
6,CONDITION_FAIL_LV_LOW,1103,10,100005,,
8,CONDITION_FAIL_PROGRESS_LACK,1201,3,100101,50,
25,CONDITION_FAIL_EVENT_TIME_LACK,1201,UrgentMiningContract,100102,1,
8,CONDITION_FAIL_PROGRESS_LACK,1202,3,100201,50,
19,CONDITION_FAIL_NOT_ONBOARD,1202,1401,100202,,
8,CONDITION_FAIL_PROGRESS_LACK,1003,1,100301,40,
27,CONDITION_FAIL_HAS_ENOUGH_ITEM,1004,40001,100401,100,
7,CONDITION_FAIL_EQUIP_LOCKED,10001,301,1000001,,
10,CONDITION_FAIL_BUFF_ACTIVE,10001,1000001,1000002,,
23,CONDITION_FAIL_GAME_MODE,10001,UrgentMiningContract,1000003,,
24,CONDITION_FAIL_GAME_MODE_BOOST_USE_COUNT,10001,UrgentMiningContract,1000004,99999,10001
26,CONDITION_FAIL_NOT_SUCCESS_ONBOARD,10001,1404,1000005,,
7,CONDITION_FAIL_EQUIP_LOCKED,10002,301,1000101,,
2,CONDITION_FAIL_NO_ORE,10002,7.5,1000102,,
10,CONDITION_FAIL_BUFF_ACTIVE,10002,1000002,1000103,,
11,CONDITION_FAIL_CANT_MINE,10002,,1000104,,
23,CONDITION_FAIL_GAME_MODE,10002,UrgentMiningContract,1000105,,
24,CONDITION_FAIL_GAME_MODE_BOOST_USE_COUNT,10002,UrgentMiningContract,1000106,99999,10002
26,CONDITION_FAIL_NOT_SUCCESS_ONBOARD,10002,1404,1000107,,
7,CONDITION_FAIL_EQUIP_LOCKED,10003,301,1000201,,
4,CONDITION_FAIL_CARGO_FULL,10003,0.66,1000202,,
3,CONDITION_FAIL_ORE_MAX,10003,200,1000203,,
10,CONDITION_FAIL_BUFF_ACTIVE,10003,1000003,1000204,,
23,CONDITION_FAIL_GAME_MODE,10003,UrgentMiningContract,1000205,,
24,CONDITION_FAIL_GAME_MODE_BOOST_USE_COUNT,10003,UrgentMiningContract,1000206,99999,10003
26,CONDITION_FAIL_NOT_SUCCESS_ONBOARD,10003,1404,1000207,,
19,CONDITION_FAIL_NOT_ONBOARD,20001,1406,2000001,,
22,CONDITION_FAIL_NEVER_OWNED,30001,10006,3000001,,
