EffectTypeInt,GroupID,Param1,TargetUnitTypes,id,Param2,Param3,Param4,Param5
4,1004011,IN_APP_PURCHASE_MONEY_ITEM_ID,"-1,-1",1004011,IN_APP_PURCHASE_MONEY_COUNT2,InAppPurchase_EarnItem,4002,iap_purchase
4,1004021,IN_APP_PURCHASE_MONEY_ITEM_ID,"-1,-1",1004021,IN_APP_PURCHASE_MONEY_COUNT3,InAppPurchase_EarnItem,4003,iap_purchase
4,1005001,IN_APP_PURCHASE_GEAR_ITEM_ID,"-1,-1",1005001,IN_APP_PURCHASE_GEAR_COUNT1,InAppPurchase_EarnItem,5001,iap_purchase
4,1005011,IN_APP_PURCHASE_GEAR_ITEM_ID,"-1,-1",1005011,IN_APP_PURCHASE_GEAR_COUNT2,InAppPurchase_EarnItem,5002,iap_purchase
4,1005021,IN_APP_PURCHASE_GEAR_ITEM_ID,"-1,-1",1005021,IN_APP_PURCHASE_GEAR_COUNT3,InAppPurchase_EarnItem,5003,iap_purchase
4,1006001,IN_APP_PURCHASE_RESEARCHPOINT_ITEM_ID,"-1,-1",1006001,IN_APP_PURCHASE_RESEARCHPOINT_COUNT1,InAppPurchase_EarnItem,6001,iap_purchase
4,1006011,IN_APP_PURCHASE_RESEARCHPOINT_ITEM_ID,"-1,-1",1006011,IN_APP_PURCHASE_RESEARCHPOINT_COUNT2,InAppPurchase_EarnItem,6002,iap_purchase
4,1006021,IN_APP_PURCHASE_RESEARCHPOINT_ITEM_ID,"-1,-1",1006021,IN_APP_PURCHASE_RESEARCHPOINT_COUNT3,InAppPurchase_EarnItem,6003,iap_purchase
4,1007001,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1007001,IN_APP_PURCHASE_DAILY_GEM_COUNT1,None,gem_rv_shop,RV
4,1008001,IN_APP_PURCHASE_BIZPOINT_ITEM_ID,"-1,-1",1008001,IN_APP_PURCHASE_BIZPOINT_COUNT1,None,7001,iap_purchase
4,1008011,IN_APP_PURCHASE_BIZPOINT_ITEM_ID,"-1,-1",1008011,IN_APP_PURCHASE_BIZPOINT_COUNT2,None,7002,iap_purchase
4,1008021,IN_APP_PURCHASE_BIZPOINT_ITEM_ID,"-1,-1",1008021,IN_APP_PURCHASE_BIZPOINT_COUNT3,None,7003,iap_purchase
4,1009001,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1009001,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT5,None,8001,iap_purchase
4,1009001,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1009002,IN_APP_PURCHASE_GEM_COUNT7,None,8001,iap_purchase
4,1009011,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1009011,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT6,None,8002,iap_purchase
4,1009011,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1009012,IN_APP_PURCHASE_GEM_COUNT8,None,8002,iap_purchase
4,1009021,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1009021,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT7,None,8003,iap_purchase
4,1009021,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1009023,IN_APP_PURCHASE_GEM_COUNT9,None,8003,iap_purchase
4,1009031,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1009031,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT8,None,8004,iap_purchase
4,1009031,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1009032,IN_APP_PURCHASE_GEM_COUNT10,None,8004,iap_purchase
4,1010001,IN_APP_SECRETARY_HINA_PACK_ITEM_ID,"-1,-1",1010001,IN_APP_SECRETARY_HINA_PACK_ITEM_COUNT,None,9001,iap_purchase
4,1010001,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1010002,IN_APP_PURCHASE_GEM_COUNT11,InAppPurchase_EarnItem,3003,iap_purchase
4,2000001,IN_APP_PURCHASE_DYNAMITE_ITEM_ID,"-1,-1",2000001,IN_APP_PURCHASE_DYNAMITE_COUNT1,None,100001,iap_purchase
4,2000002,RV_DYNAMITE_ITEM_ID,"-1,-1",2000002,RV_DYNAMITE_ITEM_COUNT,None,dynamite_rv,RV
4,2001001,IN_APP_PURCHASE_DYNAMITE_ITEM_ID,"-1,-1",2001001,IN_APP_PURCHASE_DYNAMITE_COUNT2,,,
4,2001001,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",2001002,IN_APP_PURCHASE_GEM_COUNT12,None,100051,iap_purchase
